zip_code,crime_type,Total_crimes
78719,Dang Drug Viol - Other,1
78719,Dating Disturbance,18
78719,Deadly Conduct,4
78719,Debit/Credit Card Abuse,60
78719,Del Marijuana,8
78719,Disturbance - Other,355
78719,Doc Abuse Or Threat,1
78719,Doc Abusive Language,10
78719,Doc Display Gun/Deadly Pub Plc,2
78719,Doc Exposure,8
78719,Doc Fighting,8
78719,Doc Offensive Gesture,2
78719,Domestic Violence/Alarm,1
78719,Driving While Intox / Felony,11
78719,Dui - Age 16 And Under,2
78719,Dui - Age 17 To 20,6
78719,Dwi  .15 Bac Or Above,22
78719,Dwi - Child Passenger,3
78719,Dwi - Drug Recognition Expert,2
78719,Evading / Foot,3
78719,Evading / Vehicle Pursuit,3
78719,Evading Vehicle,7
78719,Exp-Viol City Ordinance - Taxi,3
78719,Explosive Ordnance Disposal,37
78719,Fail Display Handgun License,2
78719,Failure To Identify,19
78719,False Alarm Or Report,4
78719,False Report To Peace Officer,1
78719,False Statement -Obtain Credit,1
78719,Family Disturbance,144
78719,Federal Viol/Other,1753
78719,Felony Enhancement/Asslt W/Inj,2
78719,Forgery - Other,2
78719,Forgery And Passing,8
78719,Forgery By Making,1
78719,Forgery Of Identification,6
78719,Fraud - Other,43
78719,Graffiti,8
78719,Harassment,74
78719,Harassment Of A Public Servant,3
78719,Identity Theft,24
78719,Illumin Aircraft Intense Light,46
78719,Immigration Hold/Arrest,1
78719,Impersonating Public Servant,5
78719,Indecent Exposure,4
78719,Inhalant Abuse,1
78719,Inj To Elderly   Fam/Date Viol,1
78719,Injury To Child,1
78719,Injury To Child (Care/Custody),1
78719,Interference Public Duties,1
78719,Liquor Law Violation/Other,10
78719,Littering,5
78719,Location Restrict Knife Cls C,11
78719,Money Laundering,24
78719,Narcotic Possession,130
78719,Obtain Controlled Sub By Fraud,1
78719,Online Solicitation Of A Minor,1
78719,Parole Viol,4
78719,Pigeon Drop,1
78719,Pocket Picking,3
78719,Poss Dang Drug,13
78719,Poss Of Alcohol - Age 17 To 20,2
78719,Poss Of Alcohol-Age 16 & Under,1
78719,Poss Of Firearm By Felon,3
78719,Poss Of Prohibited Weapon,29
78719,Poss Synthetic Marijuana,3
78719,Poss/Promo Child Pornography,1
78719,Possession Of Marijuana,259
78719,Possession of Drug,346
78719,Probation Viol,1
78719,Prostitution,2
78719,Protective Order,1
78719,Public Lewdness,2
78719,Reckless Damage,31
78719,Rental Car/Fail To Return,122
78719,Resisting Arrest Or Search,4
78719,Robbery By Threat,2
78719,Sexting/Transmit Sexual Photos,1
78719,Smuggling Illegal Alien,1
78719,Stalking,10
78719,Tampering With Gov Record,3
78719,Terroristic Threat,54
78719,Terroristic Threat-Mass Caslty,2
78719,Theft,1951
78719,Theft By Embezzlement,2
78719,Theft By False Pretext/Bunco,3
78719,Theft By Public Servant,2
78719,Theft By Shoplifting,14
78719,Theft Catalytic Converter,84
78719,Theft From Auto,33
78719,Theft From Building,9
78719,Theft From Person,28
78719,Theft Of Auto Parts,28
78719,Theft Of Bicycle,3
78719,Theft Of License Plate,38
78719,Theft Of Metal,5
78719,Theft Of Service,146
78719,Theft Of Trailer,4
78719,Theft/Till Tapping,1
78719,Trademark Counterfeiting,1
78719,Trafficking Of Persons,1
78719,Unlawful Carry-Lic Holder,1
78719,Unlawful Carrying Weapon,18
78719,Unlawful Restraint,3
78719,Urinating In Public Place,13
78719,Viol City Ordinance - Airport,57
78719,Viol City Ordinance - Smoking,7
78719,Viol City Ordinance - Taxi,2
78719,Viol City Ordinance - Wrecker,1
78719,Viol City Ordinance -Firework,4
78719,Viol Of Court Order-Non Epo-Po,1
78719,Viol Of Emerg Protective Order,2
78719,Viol Of Protective Order,15
78719,Viol State Law - Other,42
78719,Viol Stay Away Order,1
78719,Violation City Ordinance,99
78719,Voco - Alcohol  Consumption,5
78719,Voco Amplified Music/Vehicle,3
78719,Voco Solicitation Prohibit,1
78719,Warrant Arrest Non Traffic,214
78719,Weapon Viol - Other,70
78721,Abuse Of 911,2
78721,Abuse Of Corpse,2
78721,Abuse Of Official Capacity,1
78721,Agg Aslt Enhanc Strangl/Suffoc,22
78721,Agg Aslt W/Motor Veh Fam/Dat V,37
78721,Agg Assault On Public Servant,8
78721,Agg Assault With Motor Veh,53
78721,Agg Kidnapping,2
78721,Agg Robbery By Assault,7
78721,Aggravated Assault,1159
78721,Aggravated Robbery,428
78721,Applic To Revoke Probation,54
78721,Arson,69
78721,Arson With Bodily Injury,1
78721,Arson-Criminal Mischief,9
78721,Assault By Contact,966
78721,Assault By Threat,837
78721,Assault Of A Pregnant Woman,2
78721,Assault Of Pregnant Wm-Fam/Dat,9
78721,Assault On Peace Officer,6
78721,Assault On Public Servant,36
78721,Assault With Injury,3782
78721,Att Arson,1
78721,Att Auto Theft,3
78721,Att Burglary Non Residence,5
78721,Att Theft,6
78721,Attack By Dog,1
78721,Auto Theft,822
78721,Bank Kiting,1
78721,Bomb Threat,3
78721,Breach Of Computer Security,20
78721,Burglary Non Residence,727
78721,Burglary Of Coin-Op Machine,18
78721,Burglary Of Residence,1983
78721,Burglary Of Shed/Detached Garage/Storage Unit,80
78721,Burglary Of Vehicle,2243
78721,Camping In Park,16
78721,Capital Murder,3
78721,Child Custody Interfere,255
78721,Child Endangerment- Abandonmen,107
78721,Civil Disturbance/Demo,27
78721,Compelling Prostitution,2
78721,Contempt Of Court,2
78721,Counterfeiting,56
78721,Crash/Fail Stop And Render Aid,137
78721,Crash/Intoxication Assault,6
78721,Crash/Manslaughter,2
78721,Cred Card Abuse By Forgery,39
78721,Criminal Mischief,2786
78721,Criminal Solicitation Of Minor,1
78721,Criminal Trespass,1221
78721,Criminal Trespass/In Vehicle,4
78721,Cruelty To Animals,194
78721,Custody Arrest Traffic Warr,1233
78721,DWI,872
78721,Damage City Prop,102
78721,Damage City Vehicle,19
78721,Dang Drug Viol - Other,2
78721,Dating Disturbance,269
78721,Deadly Conduct,84
78721,Deadly Conduct Fam/Date Viol,5
78721,Debit/Credit Card Abuse,311
78721,Del Marijuana,5
78721,Del Of Alcohol To Minor,1
78721,Del Of Dang Drug,1
78721,Desecration Venerated Object,1
78721,Disposal Of Solid Waste,5
78721,Disruption Of Classes,2
78721,Distrib Harmful Material Minor,3
78721,Disturbance - Other,1551
78721,Doc Abuse Or Threat,7
78721,Doc Abusive Language,13
78721,Doc Discharge Gun - Pub Place,46
78721,Doc Discharge Gun - Pub Road,13
78721,Doc Display Gun/Deadly Pub Plc,37
78721,Doc Exposure,18
78721,Doc Fighting,92
78721,Doc Offensive Gesture,7
78721,Doc Unreasonable Noise,19
78721,Doc Window Peeping - Hotel,1
78721,Driving While Intox / Felony,104
78721,Dui - Age 16 And Under,1
78721,Dui - Age 17 To 20,14
78721,Dumping Refuse Near Highway,38
78721,Dwi  .15 Bac Or Above,67
78721,Dwi - Child Passenger,29
78721,Dwi - Drug Recognition Expert,27
78721,Engaging In Organized Crime,1
78721,Escape From Custody,5
78721,Evading / Foot,150
78721,Evading / Vehicle Pursuit,49
78721,Evading Vehicle,149
78721,Expired-Att Agg Robbery/Weap,1
78721,Expired-Att Kidnapping,1
78721,Expired-Att Robbery By Assault,1
78721,Expired-Evading Arrest,8
78721,Expired-Injury Child - Elderly,5
78721,Exploitation Of Child/Elderly,5
78721,Explosive Ordnance Disposal,3
78721,Fail Display Handgun License,1
78721,Fail To Register- Minor Vic,2
78721,Failure To Identify,251
78721,False Alarm Or Report,56
78721,False Id As A Peace Officer,1
78721,False Report To Cps,1
78721,False Report To Peace Officer,29
78721,False Statement -Obtain Credit,13
78721,Family Disturbance,6388
78721,Federal Viol/Other,15
78721,Felony Enhancement/Asslt W/Inj,348
78721,Firearms On School Prop,1
78721,Forgery - Other,35
78721,Forgery And Passing,200
78721,Forgery By Making,23
78721,Forgery Of Identification,4
78721,Forgery- Certificate Of Title,5
78721,Fraud - Other,249
78721,Fraud Filing Finance Statement,2
78721,Fraud-Card Skimmer,6
78721,Gambling,27
78721,Gambling Promotion,4
78721,Graffiti,115
78721,Harassment,1501
78721,Harassment Of A Public Servant,8
78721,Harassment Online,6
78721,Harboring Runaway Child,6
78721,Hinder Secured Creditors,3
78721,Hindering Apprehension,10
78721,Identity Theft,473
78721,Identity Theft-Tax Returns,3
78721,Immigration Hold/Arrest,7
78721,Impersonating Public Servant,3
78721,Indecent Assault,9
78721,Indecent Exposure,32
78721,Inhalant Abuse,2
78721,Inj To Disabled  Fam/Date Viol,9
78721,Inj To Elderly   Fam/Date Viol,34
78721,Inj/Child Fv (No Care/Custody),11
78721,Injury Disabled Individual,14
78721,Injury To Child,106
78721,Injury To Child (Care/Custody),84
78721,Injury To Elderly Person,21
78721,Inter Emerg Phonecall Fam/Date,12
78721,Interfere W Po Service Animals,1
78721,Interference Public Duties,8
78721,Interfering W/Emerg Phone Call,6
78721,Justified Homicide,3
78721,Kidnapping,6
78721,Liquor Law Violation/Other,44
78721,Littering,31
78721,Mail Theft,57
78721,Making Tobacco Avail To Minor,3
78721,Misapply Fiduciary Prop,1
78721,Money Laundering,1
78721,Murder,19
78721,Narcotic Possession,1763
78721,Nuisance Abatement,28
78721,Obscene Display - Distribution,2
78721,Obtain Controlled Sub By Fraud,2
78721,Obtain Dang Drug By Fraud,1
78721,Official Oppression,2
78721,Online Impersonation,11
78721,Online Solicitation Of A Minor,2
78721,Parole Viol,13
78721,Pigeon Drop,1
78721,Poss Criminal Instrument,1
78721,Poss Dang Drug,54
78721,Poss Of Alcohol - Age 17 To 20,32
78721,Poss Of Alcohol-Age 16 & Under,5
78721,Poss Of Firearm By Felon,90
78721,Poss Of Gambling Paraphernalia,1
78721,Poss Of Prohibited Weapon,32
78721,Poss Synthetic Marijuana,9
78721,Poss/Promo Child Pornography,9
78721,Possession Of Forged Writing,1
78721,Possession Of Marijuana,1310
78721,Possession of Drug,1016
78721,Probation Viol,12
78721,Promotion Of Prostitution,2
78721,Prostitution,70
78721,Protective Order,175
78721,Prowler,11
78721,Public Lewdness,8
78721,Purse Snatching,2
78721,Reckless Conduct,2
78721,Reckless Damage,10
78721,Resisting Arrest Or Search,49
78721,Retaliation,31
78721,Robbery By Threat,33
78721,Sale Of Liq Without Permit,1
78721,Securing Exec-Doc By Deception,1
78721,Sexting/Transmit Sexual Photos,2
78721,Sit And Lie Ordinance Viol,1
78721,Smuggling Illegal Alien,1
78721,Solicitation - Begging,1
78721,Stalking,44
78721,Take Weapon Frm Police Officer,1
78721,Tampering With Consumer Prod,2
78721,Tampering With Evidence,31
78721,Tampering With Gov Record,7
78721,Tampering With Witness,2
78721,Terroristic Threat,462
78721,Terroristic Threat-Mass Caslty,1
78721,Theft,3400
78721,Theft By Embezzlement,6
78721,Theft By Extortion,1
78721,Theft By False Pretext/Bunco,4
78721,Theft By Public Servant,3
78721,Theft By Shoplifting,173
78721,Theft Catalytic Converter,59
78721,Theft From Auto,166
78721,Theft From Building,50
78721,Theft From Person,142
78721,Theft Of Auto Parts,61
78721,Theft Of Bicycle,216
78721,Theft Of Heavy Equipment,13
78721,Theft Of License Plate,122
78721,Theft Of Metal,47
78721,Theft Of Service,215
78721,Theft Of Telecommunication Srv,2
78721,Theft Of Trailer,83
78721,Theft- Appropriate Stolen Prop,5
78721,Theft/Till Tapping,2
78721,Tobacco Viol - Age 17,10
78721,Tobacco Viol - Under Age 17,24
78721,Trafficking Of Persons,1
78721,Ucw License Premise,1
78721,Unlawful Carry-Lic Holder,2
78721,Unlawful Carrying Weapon,123
78721,Unlawful Restraint,12
78721,Unlawful Restraint Fam/Dat Vio,3
78721,Urinating In Public Place,33
78721,Viol City Ordinance -  Game Rm,3
78721,Viol City Ordinance - Airport,1
78721,Viol City Ordinance - Curfew,96
78721,Viol City Ordinance - Dog,109
78721,Viol City Ordinance - Smoking,12
78721,Viol City Ordinance - Sound,2
78721,Viol City Ordinance - Wrecker,59
78721,Viol City Ordinance -Firework,9
78721,Viol Glass Container,5
78721,Viol Of Bond Conditions,4
78721,Viol Of Court Order-Non Epo-Po,73
78721,Viol Of Emerg Protective Order,77
78721,Viol Of Park Curfew,62
78721,Viol Of Protective Order,203
78721,Viol State Law - Other,207
78721,Viol Stay Away Order,2
78721,Viol Temp Ex Parte  Order,6
78721,Violation City Ordinance,290
78721,Voco - Alcohol  Consumption,64
78721,Voco Amplified Music/Vehicle,260
78721,Voco Solicitation Prohibit,4
78721,Warrant Arrest Non Traffic,879
78721,Weapon Viol - Other,9
78722,Abuse Of 911,1
78722,Abuse Of Official Capacity,1
78722,Agg Aslt Enhanc Strangl/Suffoc,8
78722,Agg Aslt W/Motor Veh Fam/Dat V,8
78722,Agg Assault With Motor Veh,12
78722,Agg Promotion Of Prostitution,1
78722,Agg Robbery By Assault,1
78722,Aggravated Assault,264
78722,Aggravated Robbery,234
78722,Applic To Revoke Probation,17
78722,Arson,14
78722,Arson-Criminal Mischief,4
78722,Assault By Contact,311
78722,Assault By Threat,201
78722,Assault Of Pregnant Wm-Fam/Dat,2
78722,Assault On Peace Officer,1
78722,Assault On Public Servant,17
78722,Assault With Injury,981
78722,Att Auto Theft,3
78722,Att Burglary Non Residence,2
78722,Att Theft,2
78722,Auto Theft,516
78722,Bomb Threat,5
78722,Breach Of Computer Security,7
78722,Burglary Non Residence,485
78722,Burglary Of Coin-Op Machine,18
78722,Burglary Of Residence,1058
78722,Burglary Of Shed/Detached Garage/Storage Unit,54
78722,Burglary Of Vehicle,2510
78722,Camping In Park,22
78722,Child Custody Interfere,66
78722,Child Endangerment- Abandonmen,20
78722,Civil Disturbance/Demo,14
78722,Controlled Sub Viol - Other,1
78722,Counterfeiting,17
78722,Crash/Fail Stop And Render Aid,78
78722,Crash/Intoxication Assault,4
78722,Crash/Manslaughter,1
78722,Cred Card Abuse - Expir-Cancel,1
78722,Cred Card Abuse By Forgery,49
78722,Crimes Against Elderly,1
78722,Criminal Mischief,1074
78722,Criminal Solicitation Of Minor,1
78722,Criminal Trespass,678
78722,Criminal Trespass/In Vehicle,1
78722,Cruelty To Animals,37
78722,Custody Arrest Traffic Warr,440
78722,DWI,746
78722,Damage City Prop,41
78722,Damage City Vehicle,3
78722,Dating Disturbance,96
78722,Deadly Conduct,19
78722,Debit/Credit Card Abuse,259
78722,Del Marijuana,2
78722,Del Of Alcohol To Minor,2
78722,Distrib Harmful Material Minor,1
78722,Disturbance - Other,455
78722,Doc Abusive Language,8
78722,Doc Discharge Gun - Pub Place,5
78722,Doc Discharge Gun - Pub Road,2
78722,Doc Display Gun/Deadly Pub Plc,11
78722,Doc Exposure,8
78722,Doc Fighting,19
78722,Doc Offensive Gesture,8
78722,Doc Unreasonable Noise,19
78722,Driving While Intox / Felony,45
78722,Dui - Age 16 And Under,1
78722,Dui - Age 17 To 20,4
78722,Dumping Refuse Near Highway,5
78722,Dwi  .15 Bac Or Above,71
78722,Dwi - Child Passenger,19
78722,Dwi - Drug Recognition Expert,13
78722,Escape From Custody,2
78722,Evading / Foot,33
78722,Evading / Vehicle Pursuit,20
78722,Evading Vehicle,38
78722,Expired-Att Obt Cont Sub Fraud,1
78722,Expired-Evading Arrest,3
78722,Expired-Injury Child - Elderly,1
78722,Exploitation Of Child/Elderly,1
78722,Explosive Ordnance Disposal,1
78722,Failure To Identify,80
78722,False Alarm Or Report,9
78722,False Report To Peace Officer,13
78722,False Statement -Obtain Credit,5
78722,Family Disturbance,1472
78722,Federal Viol/Other,7
78722,Felony Enhancement/Asslt W/Inj,56
78722,Forgery - Other,22
78722,Forgery And Passing,132
78722,Forgery By Making,20
78722,Forgery Of Identification,2
78722,Forgery- Certificate Of Title,1
78722,Fraud - Other,162
78722,Fraud Destruction Of A Writing,3
78722,Fraud-Card Skimmer,8
78722,Gambling,3
78722,Gambling Promotion,1
78722,Graffiti,203
78722,Harassment,430
78722,Harassment Of A Public Servant,3
78722,Harassment Online,3
78722,Hinder Secured Creditors,8
78722,Identity Theft,203
78722,Identity Theft-Tax Returns,2
78722,Immigration Hold/Arrest,1
78722,Impersonating Public Servant,4
78722,Indecent Assault,6
78722,Indecent Exposure,32
78722,Inhalant Abuse,1
78722,Inj To Disabled  Fam/Date Viol,6
78722,Inj To Elderly   Fam/Date Viol,4
78722,Inj/Child Fv (No Care/Custody),2
78722,Injury Disabled Individual,5
78722,Injury To Child,17
78722,Injury To Child (Care/Custody),15
78722,Injury To Elderly Person,16
78722,Inter Emerg Phonecall Fam/Date,4
78722,Interference Public Duties,2
78722,Interfering W/Emerg Phone Call,2
78722,Kidnapping,4
78722,Liquor Law Violation/Other,42
78722,Littering,18
78722,Loitering In Public Park,1
78722,Mail Theft,29
78722,Manslaughter,2
78722,Misapply Fiduciary Prop,2
78722,Murder,1
78722,Narcotic Possession,416
78722,Nuisance Abatement,3
78722,Obtain Controlled Sub By Fraud,1
78722,Online Impersonation,11
78722,Online Solicitation Of A Minor,2
78722,Parole Viol,4
78722,Pigeon Drop,4
78722,Poss Dang Drug,13
78722,Poss Of Alcohol - Age 17 To 20,7
78722,Poss Of Firearm By Felon,15
78722,Poss Of Prohibited Weapon,7
78722,Poss Synthetic Marijuana,2
78722,Poss/Promo Child Pornography,7
78722,Possession Of Marijuana,330
78722,Possession of Drug,287
78722,Probation Viol,1
78722,Promotion Of Prostitution,1
78722,Prostitution,18
78722,Protective Order,25
78722,Prowler,15
78722,Public Lewdness,6
78722,Purse Snatching,2
78722,Reckless Damage,10
78722,Rental Car/Fail To Return,4
78722,Resisting Arrest Or Search,11
78722,Retaliation,8
78722,Robbery By Threat,25
78722,Sexting/Transmit Sexual Photos,1
78722,Sit And Lie Ordinance Viol,1
78722,Smuggling Illegal Alien,1
78722,Solicitation - Begging,6
78722,Stalking,17
78722,Tampering With Evidence,3
78722,Tampering With Gov Record,5
78722,Terroristic Threat,129
78722,Theft,2128
78722,Theft By False Pretext/Bunco,6
78722,Theft By Shoplifting,445
78722,Theft Catalytic Converter,52
78722,Theft From Auto,80
78722,Theft From Building,28
78722,Theft From Person,71
78722,Theft Of Auto Parts,51
78722,Theft Of Bicycle,330
78722,Theft Of Heavy Equipment,6
78722,Theft Of License Plate,66
78722,Theft Of Metal,12
78722,Theft Of Service,204
78722,Theft Of Trailer,48
78722,Theft- Appropriate Stolen Prop,1
78722,Tobacco Viol - Age 17,2
78722,Tobacco Viol - Under Age 17,2
78722,Trademark Counterfeiting,1
78722,Trafficking Of Persons,4
78722,Ucw License Premise,1
78722,Unlawful Carrying Weapon,38
78722,Unlawful Restraint,3
78722,Unlawful Restraint Fam/Dat Vio,1
78722,Urinating In Public Place,18
78722,Viol City Ordinance - Curfew,4
78722,Viol City Ordinance - Dog,15
78722,Viol City Ordinance - Smoking,1
78722,Viol City Ordinance - Wrecker,31
78722,Viol Glass Container,4
78722,Viol Of Bond Conditions,3
78722,Viol Of Court Order-Non Epo-Po,20
78722,Viol Of Emerg Protective Order,17
78722,Viol Of Park Curfew,20
78722,Viol Of Protective Order,42
78722,Viol State Law - Other,66
78722,Viol Temp Ex Parte  Order,2
78722,Violation City Ordinance,101
78722,Voco - Alcohol  Consumption,69
78722,Voco Amplified Music/Vehicle,55
78722,Voco Solicitation Prohibit,154
78722,Warrant Arrest Non Traffic,394
78722,Weapon Viol - Other,4
78723,Abuse Of 911,6
78723,Abuse Of Official Capacity,1
78723,Agg Aslt Enhanc Strangl/Suffoc,72
78723,Agg Aslt W/Motor Veh Fam/Dat V,70
78723,Agg Assault By Public Servant,2
78723,Agg Assault On Peace Officer,5
78723,Agg Assault On Public Servant,26
78723,Agg Assault With Motor Veh,127
78723,Agg Kidnapping,6
78723,Agg Promotion Of Prostitution,1
78723,Agg Robbery By Assault,49
78723,Agg Sexual Assault Child/Object-Super,2
78723,Aggravated Assault,2480
78723,Aggravated Robbery,1705
78723,Aiding Suicide,1
78723,Airport - Criminal Trespass,1
78723,Amplified Music / Vehicle,6
78723,Applic To Revoke Probation,98
78723,Arson,98
78723,Arson With Bodily Injury,1
78723,Arson-Criminal Mischief,19
78723,Assault By Contact,2239
78723,Assault By Threat,1651
78723,Assault Of A Pregnant Woman,4
78723,Assault Of Pregnant Wm-Fam/Dat,17
78723,Assault On Peace Officer,15
78723,Assault On Public Servant,115
78723,Assault With Injury,8668
78723,Att Auto Theft,16
78723,Att Burglary Non Residence,8
78723,Att Theft,10
78723,Auto Theft,2850
78723,Awol,1
78723,Bail Jumping/Fail To Appear,1
78723,Bank Kiting,3
78723,Bomb Threat,19
78723,Breach Of Computer Security,52
78723,Burglary Non Residence,1919
78723,Burglary Of Coin-Op Machine,120
78723,Burglary Of Residence,5301
78723,Burglary Of Shed/Detached Garage/Storage Unit,227
78723,Burglary Of Vehicle,9784
78723,Camping In Park,105
78723,Capital Murder,11
78723,Child Custody Interfere,507
78723,Child Endangerment- Abandonmen,289
78723,Civil Disturbance/Demo,50
78723,Compelling Prostitution,3
78723,Contempt Of Court,1
78723,Counterfeiting,215
78723,Crash/Fail Stop And Render Aid,412
78723,Crash/Intox Manslaughter,7
78723,Crash/Intoxication Assault,15
78723,Crash/Manslaughter,2
78723,Crash/Murder,1
78723,Cred Card Abuse - Expir-Cancel,12
78723,Cred Card Abuse By Forgery,238
78723,Crimes Against Elderly,1
78723,Criminal Mischief,7135
78723,Criminal Nonsupport,1
78723,Criminal Solicitation,1
78723,Criminal Solicitation Of Minor,14
78723,Criminal Trespass,3646
78723,Criminal Trespass/In Vehicle,7
78723,Cruelty To Animals,239
78723,Custody Arrest Traffic Warr,2787
78723,DWI,3215
78723,Damage City Prop,218
78723,Damage City Vehicle,30
78723,Dang Drug Viol - Other,2
78723,Dating Disturbance,567
78723,Deadly Conduct,188
78723,Deadly Conduct Fam/Date Viol,8
78723,Debit/Credit Card Abuse,1306
78723,Del Marijuana,11
78723,Del Of Alcohol To Minor,7
78723,Del Synthetic Marijuana,6
78723,Desecration Venerated Object,1
78723,Disposal Of Solid Waste,4
78723,Disruption Of Classes,3
78723,Distrib Harmful Material Minor,6
78723,Disturbance - Other,3708
78723,Doc Abuse Or Threat,14
78723,Doc Abusive Language,63
78723,Doc Creating Noxious Odor,1
78723,Doc Discharge Gun - Pub Place,87
78723,Doc Discharge Gun - Pub Road,22
78723,Doc Display Gun/Deadly Pub Plc,90
78723,Doc Exposure,80
78723,Doc Fighting,192
78723,Doc Offensive Gesture,23
78723,Doc Unreasonable Noise,51
78723,Doc Window Peeping - Hotel,1
78723,Drinking After Curfew,1
78723,Driving While Intox / Felony,214
78723,Dui - Age 16 And Under,2
78723,Dui - Age 17 To 20,35
78723,Dumping Refuse Near Highway,42
78723,Dwi  .15 Bac Or Above,247
78723,Dwi - Child Passenger,57
78723,Dwi - Drug Recognition Expert,74
78723,Engaging In Organized Crime,3
78723,Escape From Custody,4
78723,Evading / Foot,304
78723,Evading / Vehicle Pursuit,97
78723,Evading Vehicle,213
78723,Expired-Att Agg Robbery/Weap,12
78723,Expired-Att Kidnapping,3
78723,Expired-Att Obt Cont Sub Fraud,2
78723,Expired-Att Robbery By Assault,3
78723,Expired-Att/Take Weap From Off,1
78723,Expired-Evading Arrest,15
78723,Expired-Injury Child - Elderly,10
78723,Exploitation Of Child/Elderly,5
78723,Explosive Ordnance Disposal,20
78723,Fail Display Handgun License,1
78723,Failure To Identify,633
78723,Failure To Report Child Abuse,1
78723,False Alarm Or Report,84
78723,False Id As A Peace Officer,1
78723,False Report To Peace Officer,70
78723,False Statement -Obtain Credit,29
78723,Family Disturbance,12539
78723,Federal Viol/Other,35
78723,Felony Enhancement/Asslt W/Inj,567
78723,Forgery - Other,159
78723,Forgery And Passing,767
78723,Forgery By Making,65
78723,Forgery Of Identification,5
78723,Forgery- Certificate Of Title,4
78723,Fraud - Other,809
78723,Fraud Destruction Of A Writing,5
78723,Fraud Filing Finance Statement,4
78723,Fraud-Card Skimmer,12
78723,Gambling,45
78723,Gambling Promotion,4
78723,Graffiti,445
78723,Harassment,3719
78723,Harassment Of A Public Servant,23
78723,Harassment Online,22
78723,Harboring Runaway Child,14
78723,Hinder Secured Creditors,64
78723,Hindering Apprehension,13
78723,Identity Theft,1257
78723,Identity Theft-Tax Returns,13
78723,Illumin Aircraft Intense Light,1
78723,Immigration Hold/Arrest,11
78723,Impersonating Public Servant,20
78723,Indecent Assault,22
78723,Indecent Exposure,144
78723,Inhalant Abuse,5
78723,Inj To Disabled  Fam/Date Viol,6
78723,Inj To Elderly   Fam/Date Viol,63
78723,Inj/Child Fv (No Care/Custody),10
78723,Injury Disabled Individual,31
78723,Injury To Child,225
78723,Injury To Child (Care/Custody),125
78723,Injury To Elderly Person,62
78723,Injury To Elderly Person - Sbi,4
78723,Inter Emerg Phonecall Fam/Date,30
78723,Interference Public Duties,16
78723,Interfering W/Emerg Phone Call,19
78723,Justified Homicide,2
78723,Keeping Gambling Place,1
78723,Kidnapping,19
78723,Kidnapping Fam Vio,3
78723,Liquor Law Violation/Other,126
78723,Littering,82
78723,Mail Theft,204
78723,Making Tobacco Avail To Minor,5
78723,Manf Controlled Sub - Other,4
78723,Manslaughter,1
78723,Misapply Fiduciary Prop,5
78723,Misuse Of Official Info,7
78723,Money Laundering,3
78723,Murder,42
78723,Narcotic Possession,2810
78723,Nuisance Abatement,35
78723,Obscene Display - Distribution,4
78723,Obtain Controlled Sub By Fraud,76
78723,Obtain Dang Drug By Fraud,5
78723,Official Oppression,1
78723,Online Impersonation,33
78723,Online Solicitation Of A Minor,15
78723,Parole Viol,36
78723,Perjury,2
78723,Pigeon Drop,7
78723,Pocket Picking,2
78723,Poss Criminal Instrument,1
78723,Poss Dang Drug,97
78723,Poss Of Alcohol - Age 17 To 20,81
78723,Poss Of Alcohol-Age 16 & Under,11
78723,Poss Of Firearm By Felon,146
78723,Poss Of Gambling Equipment,1
78723,Poss Of Prohibited Weapon,69
78723,Poss Synthetic Marijuana,81
78723,Poss/Promo Child Pornography,19
78723,Possession Of Forged Writing,2
78723,Possession Of Marijuana,2429
78723,Possession of Drug,1739
78723,Probation Viol,22
78723,Promotion Of Prostitution,4
78723,Prostitution,114
78723,Protective Order,316
78723,Prowler,16
78723,Public Lewdness,13
78723,Purchasing Prostitution,2
78723,Purse Snatching,16
78723,Reckless Conduct,5
78723,Reckless Damage,73
78723,Rental Car/Fail To Return,6
78723,Resisting Arrest Or Search,113
78723,Retaliation,67
78723,Riot,1
78723,Robbery By Threat,145
78723,Sale Of Liq Without Permit,1
78723,Sale Or Purchase Of Child,4
78723,Securing Exec-Doc By Deception,1
78723,Sexting/Transmit Sexual Photos,5
78723,Sexual Coercion,1
78723,Sit And Lie Ordinance Viol,7
78723,Smuggling Illegal Alien,6
78723,Solicitation - Begging,12
78723,Stalking,92
78723,Take Weapon Frm Police Officer,7
78723,Tampering With Consumer Prod,2
78723,Tampering With Evidence,29
78723,Tampering With Gov Record,13
78723,Tampering With Witness,1
78723,Telecommunication Crimes/Other,1
78723,Terroristic Threat,1551
78723,Terroristic Threat-Mass Caslty,6
78723,Theft,11767
78723,Theft By Embezzlement,14
78723,Theft By Extortion,1
78723,Theft By False Pretext/Bunco,2
78723,Theft By Public Servant,2
78723,Theft By Shoplifting,3358
78723,Theft Catalytic Converter,239
78723,Theft From Auto,538
78723,Theft From Building,125
78723,Theft From Person,465
78723,Theft Of Auto Parts,210
78723,Theft Of Bicycle,642
78723,Theft Of Heavy Equipment,20
78723,Theft Of License Plate,427
78723,Theft Of Metal,105
78723,Theft Of Service,697
78723,Theft Of Telecommunication Srv,4
78723,Theft Of Trailer,144
78723,Theft- Appropriate Stolen Prop,11
78723,Theft/Till Tapping,4
78723,Tobacco Viol - Age 17,18
78723,Tobacco Viol - Under Age 17,41
78723,Trademark Counterfeiting,6
78723,Trafficking Of Persons,6
78723,Truancy,10
78723,Ucw License Premise,5
